song_title,register,year,points,peak_rank
How Deep Is Your Love,7,1977,2629,1
I Go Crazy,6,1977,2526,7
I Just Want To Be Your Everything,7,1977,2361,1
We Are The Champions,9,1977,2117,4
(Love Is) Thicker Than Water,6,1977,2105,1
Stayin' Alive,10,1977,2092,1
You Light Up My Life,7,1977,2063,1
Baby Come Back,7,1977,1937,1
Boogie Nights,7,1977,1797,2
Just The Way You Are,7,1977,1744,3
Undercover Angel,8,1977,1688,1
I'm Your Boogie Man,5,1977,1612,1
That's Rock 'N' Roll,7,1977,1602,3
On And On,6,1977,1589,11
Swayin' To The Music (slow Dancin'),5,1977,1558,10
Telephone Line,7,1977,1553,7
You're In My Heart (The Final Acclaim),8,1977,1528,4
Margaritaville,5,1977,1517,8
Whatcha Gonna Do?,10,1977,1507,6
Sometimes When We Touch,7,1977,1497,3
Come Sail Away,7,1977,1483,8
Hotel California,7,1977,1476,1
Cold As Ice,8,1977,1475,6
Got To Give It Up (Pt. I),9,1977,1442,1
Slip Slidin' Away,6,1977,1434,5
Southern Nights,6,1977,1428,1
Feels Like The First Time,8,1977,1424,4
Couldn't Get It Right,3,1977,1423,3
When I Need You,7,1977,1422,1
Keep It Comin' Love,7,1977,1420,2
Don't Give Up On Us,8,1977,1391,1
So In To You,5,1977,1374,7
Rich Girl,8,1977,1371,1
I'm In You,7,1977,1360,2
Short People,5,1977,1360,2
Lucille,4,1977,1353,5
The Things We Do For Love,6,1977,1352,5
Lonely Boy,7,1977,1344,7
Looks Like We Made It,6,1977,1339,1
Handy Man,5,1977,1339,4
Just A Song Before I Go,7,1977,1335,7
You And Me,7,1977,1331,9
(Every Time I Turn Around) Back In Love Again,7,1977,1330,4
Don't Stop,7,1977,1327,3
Da Doo Ron Ron,7,1977,1297,1
Sir Duke,8,1977,1291,1
Strawberry Letter 23,7,1977,1291,5
Thunder Island,7,1977,1287,9
Goodbye Girl,5,1977,1283,15
"Baby, What A Big Surprise",8,1977,1240,4
Jet Airliner,5,1977,1230,8
Just Remember I Love You,7,1977,1213,11
Sentimental Lady,6,1977,1200,8
Help Is On Its Way,6,1977,1200,14
Serpentine Fire,6,1977,1199,13
Peg,8,1977,1171,11
Hey Deanie,7,1977,1163,7
You Made Me Believe In Magic,8,1977,1146,10
Lido Shuffle,7,1977,1123,11
What's Your Name,7,1977,1120,13
Devil's Gun,3,1977,1105,36
We Just Disagree,6,1977,1104,12
Give A Little Bit,8,1977,1089,15
Isn't It Time,8,1977,1048,13
Ain't Gonna Bump No More (with No Big Fat Woman),8,1977,1038,12
I Wanna Get Next To You,8,1977,1034,10
Go Your Own Way,6,1977,1011,10
Dusic,9,1977,989,18
Turn To Stone,7,1977,985,13
Don't Worry Baby,8,1977,974,17
How Much Love,7,1977,970,17
"Signed, Sealed, Delivered (I'm Yours)",8,1977,970,18
Black Betty,7,1977,939,18
Say You'll Stay Until Tomorrow,7,1977,934,15
Maybe I'm Amazed,8,1977,929,10
Boogie Child,7,1977,928,12
Desiree,7,1977,924,16
Swingtown,6,1977,886,17
It's Sad To Belong,5,1977,885,21
Your Smiling Face,7,1977,885,20
Life In The Fast Lane,7,1977,879,11
Happy Anniversary,7,1977,878,16
Calling Dr. Love,7,1977,874,16
Do Ya Wanna Get Funky With Me,7,1977,820,18
Surfin' USA,7,1977,818,20
Whodunit,7,1977,811,22
"Luckenbach, Texas (Back To The Basics Of Love)",5,1977,811,25
The First Cut Is The Deepest,8,1977,786,21
Jungle Love,7,1977,757,23
The Greatest Love Of All,8,1977,756,24
Gone Too Far,7,1977,747,23
Point Of Know Return,10,1977,735,28
As,7,1977,704,36
Crackerbox Palace,7,1977,701,19
Christine Sixteen,7,1977,699,25
She's Not There,7,1977,686,27
Ffun,8,1977,665,23
Lovely Day,6,1977,657,30
Edge Of The Universe,7,1977,633,26
Long Time,9,1977,629,22
Red Red Wine,6,1984,2139,1
When Doves Cry,7,1984,1828,1
Against All Odds (Take A Look At Me Now),7,1984,1728,1
Hello,5,1984,1727,1
Footloose,7,1984,1716,1
I Just Called To Say I Love You,8,1984,1695,1
Careless Whisper,8,1984,1662,1
Missing You,7,1984,1658,1
Hard Habit To Break,8,1984,1632,3
Wake Me Up Before You Go-Go,8,1984,1616,1
Caribbean Queen (No More Love On The Run),8,1984,1612,1
I Want To Know What Love Is,4,1984,1604,1
Easy Lover,10,1984,1601,2
I Can Dream About You,8,1984,1597,6
Out Of Touch,7,1984,1595,1
Jump,8,1984,1576,1
Dancing In The Dark,6,1984,1574,2
The Heat Is On,7,1984,1572,2
Cool It Now,9,1984,1560,4
Let's Go Crazy,6,1984,1551,1
Ghostbusters,4,1984,1537,1
Hold Me Now,7,1984,1512,3
Sunglasses At Night,8,1984,1503,7
The Reflex,6,1984,1484,1
If Ever You're In My Arms Again,7,1984,1454,10
Sister Christian,8,1984,1440,5
The Boys Of Summer,7,1984,1429,5
Sea Of Love,7,1984,1426,3
You're The Inspiration,8,1984,1421,3
"Oh, Sherrie",10,1984,1414,3
Eyes Without A Face,6,1984,1393,4
All I Need,8,1984,1389,2
Stuck On You,5,1984,1387,3
I Can't Hold Back,8,1984,1369,13
Misled,6,1984,1365,10
Drive,7,1984,1343,3
The Wild Boys,6,1984,1334,2
Purple Rain,6,1984,1334,2
To All The Girls I've Loved Before,6,1984,1328,5
I Want A New Drug,7,1984,1304,6
Run To You,6,1984,1290,6
Infatuation,8,1984,1285,6
No More Lonely Nights,9,1984,1273,6
Almost Paradise...Love Theme From Footloose,8,1984,1250,7
Do What You Do,7,1984,1248,13
Legs,7,1984,1247,8
Penny Lover,7,1984,1238,8
Jungle Love,6,1984,1237,20
If This Is It,7,1984,1214,6
Valotte,8,1984,1214,9
Desert Moon,7,1984,1211,10
Cover Me,7,1984,1198,7
Relax,7,1984,1194,10
You Might Think,6,1984,1184,7
Method Of Modern Love,8,1984,1168,5
Born In The USA,6,1984,1162,9
Dance Hall Days,6,1984,1162,16
Love Somebody,8,1984,1157,5
Adult Education,7,1984,1138,8
Round and Round,8,1984,1090,12
State of Shock,9,1984,1086,3
The Longest Time,7,1984,1084,14
Tonight,7,1984,1083,13
Foolish Heart,10,1984,1080,18
Some Guys Have All The Luck,8,1984,1064,10
Dancing In The Sheets,6,1984,1061,17
Wrapped Around Your Finger,8,1984,1059,8
I Would Die 4 U,6,1984,1050,8
The Old Man Down The Road,8,1984,1047,10
Blue Jean,4,1984,1045,8
Magic,7,1984,1043,12
When You Close Your Eyes,8,1984,1040,14
It Ain't Enough,8,1984,1036,17
Jamie,5,1984,1031,14
New Moon On Monday,8,1984,1030,10
Rock Me Tonite,8,1984,1026,15
Doctor! Doctor!,6,1984,1008,11
