Serving HTTP on 0.0.0.0 port 4179 (http://0.0.0.0:4179/) ...
127.0.0.1 - - [29/Aug/2026 20:47:05] "HEAD /index.html HTTP/1.1" 200 -
127.0.0.1 - - [29/Aug/2026 20:57:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [29/Aug/2026 20:57:50] "GET /assets/base.css HTTP/1.1" 200 -
127.0.0.1 - - [29/Aug/2026 20:57:50] "GET /assets/base.js HTTP/1.1" 200 -
127.0.0.1 - - [29/Aug/2026 20:57:50] "GET /assets/lib/seedrandom.min.js HTTP/1.1" 200 -
127.0.0.1 - - [29/Aug/2026 20:57:51] code 404, message File not found
127.0.0.1 - - [29/Aug/2026 20:57:51] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [29/Aug/2026 20:59:27] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [29/Aug/2026 20:59:27] "GET /assets/lib/seedrandom.min.js HTTP/1.1" 200 -
127.0.0.1 - - [29/Aug/2026 20:59:27] "GET /assets/base.js HTTP/1.1" 200 -
127.0.0.1 - - [29/Aug/2026 20:59:27] "GET /assets/base.css HTTP/1.1" 200 -
127.0.0.1 - - [29/Aug/2026 20:59:27] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [29/Aug/2026 21:00:52] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [29/Aug/2026 21:02:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [29/Aug/2026 21:02:50] "GET /assets/base.css HTTP/1.1" 200 -
127.0.0.1 - - [29/Aug/2026 21:02:50] "GET /assets/lib/seedrandom.min.js HTTP/1.1" 200 -
127.0.0.1 - - [29/Aug/2026 21:02:50] "GET /assets/base.js HTTP/1.1" 200 -
127.0.0.1 - - [29/Aug/2026 21:06:45] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [29/Aug/2026 21:20:13] "HEAD / HTTP/1.1" 200 -
