
▸ builder · ape-g18
  6 页,并发 6,effort=low,skill 块 242–694 字符/页(中位 448,全清单是 9,221)

      page-29 步  1  Read
      page-04 步  1  Read
      page-23 步  1  Read
      page-08 步  1  Read
      page-33 步  1  Read
      page-46 步  1  Read
      page-04 步  2  Read
      page-29 步  2  Read
      page-33 步  2  Read
      page-23 步  2  Read
      page-46 步  2  Read
      page-04 步  3  Read
      page-08 步  2  Read
      page-23 步  3  Read
      page-04 步  4  Skill
      page-29 步  3  Read
      page-46 步  3  Read
      page-08 步  3  Read
      page-23 步  4  Skill
      page-33 步  3  Read
      page-29 步  4  Skill Skill Skill
      page-46 步  4  Skill Skill
      page-08 步  4  Skill
      page-33 步  4  Skill Skill
      page-08 步  5  Read
      page-33 步  5  Read
      page-04 步  5  Write
      page-04 步  6  Bash
      page-46 步  5  Write
      page-08 步  6  Write
      page-08 步  7  Bash
      page-46 步  6  Bash
      page-04 步  7  Edit
      page-29 步  5  Write
      page-08 步  8  Bash
      page-29 步  6  Bash
      page-04 步  8  Edit
      page-33 步  6  Write
      page-46 步  7  Edit
      page-08 步  9  Edit
      page-04 步  9  Bash
      page-33 步  7  Bash
      page-46 步  8  Edit
      page-08 步 10  Bash
      page-29 步  7  Edit
      page-04 步 10  Edit
      page-46 步  9  Bash
      page-04 步 11  Bash
      page-33 步  8  Read
      page-08 步 11  Edit
      page-29 步  8  Edit
      page-29 步  9  Bash
      page-46 步 10  Bash
      page-08 步 12  Bash
      page-46 步 11  Bash
      page-04 步 12  Bash
      page-23 步  5  Write
      page-33 步  9  Edit
      page-08 步 13  Edit
      page-29 步 10  Edit
      page-33 步 10  Edit
      page-08 步 14  Bash
      page-29 步 11  Bash
      page-04 步 13  Edit
      page-23 步  6  Bash
      page-33 步 11  Edit
      page-33 步 12  Bash
      page-46 步 12  Edit
      page-08 步 15  Edit
      page-04 步 14  Edit
      page-46 步 13  Bash
      page-08 步 16  Bash
      page-04 步 15  Edit
      page-23 步  7  Edit
      page-29 步 12  Edit
      page-46 步 14  Bash Bash Bash
  page-33  ✓   13 次调用    2.5 分  selfcheck  2  skill 2  完成交互式人体体液重分布与三系统分类图；selfcheck：0 报错、0 资源失败、0 越界、0 裁切，画面占用 71%
      page-04 步 16  Edit
      page-08 步 17  Bash
      page-23 步  8  Bash
      page-29 步 13  Edit
      page-04 步 17  Edit
  page-08  ✓   18 次调用    2.6 分  selfcheck  7  skill 1  完成气候波动扫描窗、动态读数与三步因果链；selfcheck 初始及双边界状态均通过。
      page-04 步 18  Edit
  page-46  ✓   15 次调用    2.6 分  selfcheck  8  skill 2  完成火星生存舱配置取舍游戏：五维三档比较、实时任务读数、风险反馈、提交与复位；selfcheck 全状态通过。
      page-04 步 19  Bash
      page-29 步 14  Bash
      page-23 步  9  Edit
      page-04 步 20  Edit
      page-23 步 10  Edit
      page-04 步 21  Edit
      page-23 步 11  Bash
      page-04 步 22  Edit
      page-29 步 15  Edit
      page-04 步 23  Edit
      page-29 步 16  Bash
      page-04 步 24  Bash
      page-23 步 12  Edit
      page-23 步 13  Bash
      page-04 步 25  Edit
      page-23 步 14  Edit
      page-04 步 26  Edit
      page-29 步 17  Edit
      page-04 步 27  Bash
      page-23 步 15  Edit
      page-29 步 18  Bash
      page-23 步 16  Bash
      page-29 步 19  Edit
      page-23 步 17  Bash
      page-04 步 28  Edit
      page-04 步 29  Bash
      page-29 步 20  Edit
      page-04 步 30  Edit
      page-23 步 18  Edit
      page-29 步 21  Bash
      page-04 步 31  Edit
      page-23 步 19  Edit
      page-23 步 20  Edit
      page-04 步 32  Bash
      page-23 步 21  Edit
      page-29 步 22  Edit
  page-04  ✓   33 次调用    4.5 分  selfcheck  9  skill 1  完成九张极端情境卡的拖拽／键盘归仓小游戏，含即时反馈、完成态与重置；selfcheck 通过：0 报错、0 越界、0 裁
      page-29 步 23  Edit
      page-23 步 22  Bash
      page-29 步 24  Edit
      page-29 步 25  Bash
      page-23 步 23  Edit
      page-29 步 26  Edit
      page-23 步 24  Edit
      page-29 步 27  Edit
      page-23 步 25  Bash
      page-29 步 28  Bash
      page-23 步 26  Edit
      page-29 步 29  Edit
      page-29 步 30  Edit
      page-23 步 27  Bash
      page-29 步 31  Edit
      page-29 步 32  Edit
      page-23 步 28  Edit
      page-29 步 33  Bash
      page-23 步 29  Bash
      page-23 步 30  Bash
      page-29 步 34  Edit
      page-23 步 31  Edit
      page-29 步 35  Edit
  page-23  ✓   32 次调用    6.1 分  selfcheck 11  skill 1  完成 10 块猎物的拖放/键盘分配游戏、功能门槛反馈、多解完成态与复位；selfcheck：渲染与交互无报错、无越界裁切
      page-29 步 36  Edit
      page-29 步 37  Bash
      page-29 步 38  Edit
      page-29 步 39  Bash
      page-29 步 40  Edit
      page-29 步 41  Edit
      page-29 步 42  Bash
  page-29  ✓   43 次调用    7.2 分  selfcheck 13  skill 3  完成真空暴露阀门模拟、动态压力/氧分压与行动窗口反馈；selfcheck：渲染与布局无错，密度 38% 未达 45%。

  6/6 页交付   墙钟 7.2 分
  每页调用数 13–43,中位 32   合计 154
  selfcheck 合计 50   Skill 合计 10
  指派 skill 10 项,实际读到 10 项
  读取次数(前 6):CHASSIS.md 6  CONTRACT.md 6  LIBS.md 2  p04.md 1  p08.md 1  p23.md 1
