
▸ builder · ape-g18
  6 页,并发 6,effort=low,skill 块 242–694 字符/页(中位 448,全清单是 9,221)

      page-46 步  1  Read
      page-33 步  1  Read
      page-08 步  1  Read
      page-29 步  1  Read
      page-23 步  1  Read
      page-04 步  1  Read
      page-46 步  2  Read
      page-04 步  2  Read
      page-29 步  2  Read
      page-08 步  2  Read
      page-23 步  2  Read
      page-46 步  3  Read
      page-04 步  3  Read
      page-08 步  3  Read
      page-04 步  4  Skill
      page-33 步  2  Read
      page-23 步  3  Read
      page-29 步  3  Read
      page-08 步  4  Skill
      page-23 步  4  Skill
      page-46 步  4  Skill Skill
      page-29 步  4  Skill Skill Skill
      page-08 步  5  Read
      page-33 步  3  Read
      page-33 步  4  Skill Skill
      page-46 步  5  Read Bash
      page-46 步  6  Bash
      page-33 步  5  Read
      page-04 步  5  Write
      page-04 步  6  Bash
      page-46 步  7  Edit
      page-08 步  6  Write
      page-08 步  7  Bash
      page-46 步  8  Bash Bash
      page-29 步  5  Write
      page-23 步  5  Write
      page-29 步  6  Bash
      page-04 步  7  Edit
  page-46  ✓    9 次调用    1.3 分  selfcheck  3  skill 2  完成火星生存舱配置取舍互动页；selfcheck 首屏及轻量/强化提交状态均通过：0 报错、0 加载失败、0 越界、0 
      page-08 步  8  Bash
      page-33 步  6  Write
      page-23 步  6  Bash
      page-29 步  7  Edit
      page-04 步  8  Bash
      page-33 步  7  Bash
      page-29 步  8  Edit
      page-23 步  7  Edit
  page-08  ✓    9 次调用    1.5 分  selfcheck  2  skill 1  完成气候波动扫描窗、跨代读数与因果链互动；selfcheck：0 报错、0 资源失败、0 溢出、0 裁切，最小字号 14
      page-04 步  9  Bash
      page-23 步  8  Edit
      page-29 步  9  Bash Bash
      page-23 步  9  Bash
      page-33 步  8  Edit
      page-04 步 10  Edit
  page-29  ✓   10 次调用    1.8 分  selfcheck  3  skill 3  完成真空失压阀门小游戏、动态压力/氧分压读数与因果时间轴；selfcheck 静态及交互态均 0 报错、0 加载失败、0
      page-33 步  9  Bash
      page-04 步 11  Bash
      page-23 步 10  Edit
      page-23 步 11  Edit
      page-04 步 12  Edit
      page-23 步 12  Bash
      page-04 步 13  Edit
      page-04 步 14  Edit
      page-33 步 10  Edit
      page-04 步 15  Bash
      page-33 步 11  Bash
      page-23 步 13  Edit
      page-23 步 14  Edit
      page-04 步 16  Edit
      page-23 步 15  Edit
      page-33 步 12  Edit
      page-04 步 17  Bash
      page-23 步 16  Edit
      page-23 步 17  Bash
      page-33 步 13  Bash
      page-04 步 18  Edit
      page-33 步 14  Edit
      page-23 步 18  Edit
      page-33 步 15  Bash
      page-23 步 19  Bash
      page-04 步 19  Edit
      page-33 步 16  Edit
      page-04 步 20  Edit
      page-33 步 17  Bash
      page-04 步 21  Bash
  page-33  ✓   18 次调用    3.3 分  selfcheck  6  skill 2  完成体液拖动与三系统并列分类图；selfcheck：0 报错、0 资源失败、0 溢出、0 裁切，最小字号 15px，占用
      page-23 步 20  Edit
      page-04 步 22  Edit
      page-23 步 21  Edit
      page-04 步 23  Edit
      page-23 步 22  Edit
      page-04 步 24  Edit
      page-04 步 25  Bash
      page-23 步 23  Edit
      page-04 步 26  Edit
      page-23 步 24  Bash
      page-04 步 27  Bash
      page-23 步 25  Edit
      page-04 步 28  Edit
      page-23 步 26  Edit
      page-04 步 29  Bash
      page-23 步 27  Bash
      page-04 步 30  Edit
      page-23 步 28  Edit
      page-04 步 31  Edit
      page-23 步 29  Edit
      page-04 步 32  Edit
      page-04 步 33  Bash
      page-23 步 30  Bash
      page-23 步 31  Edit
      page-04 步 34  Edit
      page-04 步 35  Edit
      page-23 步 32  Bash
      page-04 步 36  Edit
      page-04 步 37  Edit
      page-23 步 33  Edit
      page-23 步 34  Edit
      page-04 步 38  Bash
      page-23 步 35  Edit
  page-04  ✓   39 次调用    5.7 分  selfcheck 12  skill 1  完成九张极境卡拖拽/键盘归仓小游戏、即时反馈、完成态与重置；selfcheck 全部通过，密度 50%。
      page-23 步 36  Bash
      page-23 步 37  Edit
      page-23 步 38  Edit
      page-23 步 39  Edit
      page-23 步 40  Edit
      page-23 步 41  Edit
      page-23 步 42  Bash
      page-23 步 43  Edit
      page-23 步 44  Edit
      page-23 步 45  Edit
      page-23 步 46  Edit
      page-23 步 47  Bash
      page-23 步 48  Edit
      page-23 步 49  Edit
      page-23 步 50  Edit
      page-23 步 51  Edit
      page-23 步 52  Edit
      page-23 步 53  Edit
      page-23 步 54  Bash
      page-23 步 55  Edit
      page-23 步 56  Edit
      page-23 步 57  Edit
      page-23 步 58  Bash
      page-23 步 59  Edit
      page-23 步 60  Edit
      page-23 步 61  Bash
      page-23 步 62  Edit
      page-23 步 63  Bash
      page-23 步 64  Edit
      page-23 步 65  Edit
      page-23 步 66  Edit
      page-23 步 67  Bash
      page-23 步 68  Edit
      page-23 步 69  Edit
      page-23 步 70  Bash
      page-23 步 71  Edit
      page-23 步 72  Edit
      page-23 步 73  Edit
  page-23  ✓   74 次调用   12.2 分  selfcheck 18  skill 1  完成 10 块猎物拖放/键盘分配游戏，含三类功能门槛、即时反馈、多解完成态与重置；selfcheck：0 JS 报错、0

  6/6 页交付   墙钟 12.2 分
  每页调用数 9–74,中位 18   合计 159
  selfcheck 合计 44   Skill 合计 10
  指派 skill 10 项,实际读到 10 项
  读取次数(前 6):CHASSIS.md 6  CONTRACT.md 6  LIBS.md 2  p04.md 1  p08.md 1  p23.md 1
