
▸ builder · net-g2-pnntask
  22 页,并发 8,model=AWS-GPT-5.6-Sol,effort=low,模式 {'workflow': 22}
  指导块 487–659 字符/页(中位 659)
  system 块 111 字符(不含设计哲学)

      page-05 步  1  Skill
      page-01 步  1  Skill
      page-03 步  1  Skill
      page-02 步  1  Skill
      page-04 步  1  Skill
      page-06 步  1  Skill
      page-08 步  1  Skill
      page-07 步  1  Skill
      page-04 步  2  Read
      page-05 步  2  Read
      page-06 步  2  Read Read Read
      page-08 步  2  Read
      page-01 步  2  Read
      page-02 步  2  Read
      page-03 步  2  Read
      page-04 步  3  Read
      page-07 步  2  Read
      page-08 步  3  Read
      page-01 步  3  Read
      page-05 步  3  Read
      page-02 步  3  Read
      page-06 步  3  Read
      page-03 步  3  Read
      page-04 步  4  Read
      page-08 步  4  Read
      page-07 步  3  Read
      page-05 步  4  Read
      page-02 步  4  Read
      page-01 步  4  Read
      page-06 步  4  Read
      page-03 步  4  Read
      page-04 步  5  Read
      page-08 步  5  Read
      page-07 步  4  Read
      page-01 步  5  Read
      page-05 步  5  Read
      page-02 步  5  Read
      page-03 步  5  Read
      page-08 步  6  Read
      page-04 步  6  Read
      page-02 步  6  Read
      page-05 步  6  Read
      page-01 步  6  Read
      page-06 步  5  Bash
      page-03 步  6  Read
      page-07 步  5  Read
      page-02 步  7  Read
      page-01 步  7  Read
      page-05 步  7  Check
      page-06 步  6  Read
      page-07 步  6  Read
      page-06 步  7  Write
      page-06 步  8  Check
      page-02 步  8  Edit
      page-01 步  8  Write
      page-02 步  9  Check
      page-01 步  9  Check
      page-07 步  7  Write
      page-04 步  7  Write
      page-08 步  7  Write
      page-03 步  7  Write
  page-02  ✓   10 次调用    1.1 分  自检  1  图  1  skill 1  以可见回环呈现“预测→量误差→找方向→改参数→再预测”的四步学习流程；检查结果：JS 错误 0、资源失败 0、越界 0、
      page-04 步  8  Patch
      page-07 步  8  Patch
      page-09 步  1  Skill
      page-03 步  8  Check
      page-05 步  8  Write
      page-01 步 10  Patch
      page-08 步  8  Check
      page-07 步  9  Check
      page-09 步  2  Read
      page-05 步  9  Check
      page-09 步  3  Read
  page-01  ✓   11 次调用    1.3 分  自检  1  图  1  skill 1  开场页以“尝试 → 看结果 → 修正”的连续回路建立学习直觉；最终检查：JS 错误 0、资源失败 0、越界 0、裁切 0
      page-10 步  1  Skill
      page-03 步  9  Edit
      page-04 步  9  Patch
      page-09 步  4  Read
      page-08 步  9  Check
      page-06 步  9  Write
      page-03 步 10  Check
      page-09 步  5  Read
      page-07 步 10  Patch
      page-10 步  2  Read
      page-06 步 10  Check
      page-04 步 10  Check
      page-09 步  6  Read Read
      page-10 步  3  Read
      page-05 步 10  Patch
      page-08 步 10  Check
      page-10 步  4  Read
      page-09 步  7  Read
      page-10 步  5  Read
      page-03 步 11  Patch
      page-05 步 11  Patch
      page-10 步  6  Read
      page-04 步 11  Patch
      page-06 步 11  Patch
      page-09 步  8  Bash
      page-08 步 11  Check
      page-07 步 11  Patch
      page-06 步 12  Check
      page-03 步 12  Edit
      page-05 步 12  Patch
      page-08 步 12  Check
      page-07 步 12  Patch
  page-06  ✓   13 次调用    2.1 分  自检  3  图  5  skill 1  已完成激活规则三联对照与键盘/点击切换、即时输出反馈及确定性重置；最终检查：JS 错误 0、资源失败 0、越界 0、裁切
      page-03 步 13  Check
      page-11 步  1  Skill
      page-08 步 13  Check
      page-05 步 13  Patch
      page-11 步  2  Read
      page-04 步 12  Patch
      page-07 步 13  Patch
      page-11 步  3  Read
      page-08 步 14  Patch
      page-11 步  4  Read
      page-09 步  9  Write
      page-07 步 14  Check
      page-04 步 13  Check
      page-05 步 14  Check
      page-09 步 10  Check
      page-11 步  5  Read
