color,id,selected
1,1,08
1,3,68
0,10,50
0,2,64
1,5,42
0,6,60
1,10,63
0,1,73
1,9,92
1,7,62
1,3,62
0,9,85
1,2,71
1,8,85
0,10,34
0,10,46
0,5,33
1,6,84
0,9,76
1,2,69
1,10,47
1,1,73
1,7,64
0,8,82
0,3,78
1,1,91
1,6,96
0,7,76
0,10,28
0,4,39
1,4,88
1,7,76
0,1,08
1,8,88
1,2,64
0,3,46
0,5,27
0,9,92
1,2,74
1,10,55
1,10,20
0,7,80
0,6,71
0,5,74
1,1,19
1,9,59
0,1,64
1,3,82
1,7,67
1,4,85
0,8,84
1,7,60
0,6,53
0,1,83
1,9,01
1,2,63
0,3,47
1,8,92
1,5,31
0,1,16
0,10,43
1,7,76
0,1,19
1,8,84
0,2,41
1,9,91
0,5,33
1,8,84
0,6,68
0,1,79
1,8,06
0,6,69
0,2,64
1,7,88
1,5,35
1,4,82
0,7,74
1,9,72
0,8,93
0,6,57
0,7,52
0,1,67
1,6,83
0,5,75
0,2,79
1,4,15
0,3,66
0,6,80
1,7,74
1,8,15
0,7,62
1,4,78
0,5,39
1,8,06
1,2,12
0,6,59
0,2,73
1,1,08
1,5,56
0,3,47
1,7,52
0,3,27
0,6,44
0,10,44
0,2,67
1,2,08
1,1,72
1,7,12
1,9,00
0,4,91
1,3,69
0,5,52
0,1,04
1,6,67
1,2,68
1,3,69
1,9,83
0,1,16
1,2,62
0,10,52
0,3,74
1,7,62
0,1,08
1,5,20
0,9,14
1,9,80
0,2,60
0,8,49
0,5,70
1,7,90
0,3,45
1,8,05
0,5,20
1,6,89
1,1,15
0,6,86
0,10,55
1,9,83
0,5,27
1,7,54
1,5,65
1,9,11
1,4,70
1,10,50
1,7,50
0,8,15
1,10,64
1,9,75
1,1,95
0,4,63
1,10,63
1,8,87
0,2,68
0,9,50
0,5,50
1,8,00
1,7,63
1,6,73
0,1,13
0,2,68
0,5,45
0,3,21
0,9,80
1,4,94
1,6,68
0,7,40
0,5,20
1,6,76
1,3,90
0,10,27
0,2,70
0,9,07
0,3,47
0,4,92
1,8,55
0,8,64
1,10,50
0,2,68
1,9,06
1,4,96
1,4,93
1,8,89
0,6,49
0,7,64
0,2,68
0,9,27
0,2,63
1,6,84
1,7,64
0,5,51
1,8,03
1,5,76
1,7,66
0,3,48
0,1,74
1,9,05
1,7,66
1,5,45
1,3,12
1,2,08
1,8,97
0,5,55
0,3,65
0,4,78
1,10,66
0,8,52
1,6,90
0,3,28
0,1,71
1,7,75
1,4,79
1,8,85
0,9,72
1,5,61
0,7,55
1,6,62
1,10,49
0,8,90
1,5,34
1,3,45
1,2,56
0,3,68
1,6,83
0,9,32
1,1,03
0,6,98
0,2,78
0,7,81
1,3,98
1,5,92
1,3,61
1,9,88
0,10,50
1,7,61
0,4,09
1,6,60
1,10,38
0,7,23
0,3,29
1,9,95
1,6,84
1,5,46
1,9,70
1,2,86
1,7,67
0,10,65
1,5,70
0,1,05
0,9,93
1,6,97
1,6,61
0,9,82
1,5,33
0,10,49
0,1,94
0,3,63
1,9,00
0,5,35
1,8,83
0,4,78
1,2,69
1,10,62
1,5,29
0,7,74
1,9,99
0,10,52
1,1,13
1,9,69
1,8,85
0,5,22
0,2,05
0,5,43
0,3,69
1,8,17
1,7,70
1,5,71
1,2,84
1,4,92
1,9,68
0,1,12
0,6,70
1,10,60
0,8,90
0,9,19
1,3,66
1,3,64
0,1,70
1,5,31
1,6,90
1,7,59
1,8,94
1,4,88
1,7,81
0,9,71
0,6,92
1,8,94
1,9,78
1,6,76
0,10,52
0,2,64
1,3,89
1,5,49
0,9,76
1,1,79
1,6,89
0,2,64
1,3,86
1,5,25
0,10,47
0,7,67
0,7,40
1,9,85
0,10,20
1,3,65
0,1,75
0,2,66
0,5,33
0,7,66
0,8,83
1,3,07
1,8,96
1,3,70
1,10,60
0,7,37
0,4,74
1,1,90
1,4,73
0,9,39
1,8,54
0,2,13
0,9,95
1,3,46
1,6,95
0,1,12
1,4,90
0,5,29
1,10,44
0,6,52
1,8,98
0,1,74
1,8,90
1,3,67
0,2,67
1,9,96
0,1,16
1,10,95
0,8,94
1,5,60
0,1,00
0,2,86
0,1,69
0,8,95
1,7,78
1,6,05
0,10,64
0,1,03
0,5,63
0,6,71
0,3,84
1,4,90
1,5,74
0,3,45
0,7,64
1,9,87
1,2,60
0,3,46
1,7,68
1,8,84
1,6,73
0,10,63
1,10,65
0,6,57
1,8,80
1,9,89
1,1,67
1,5,40
0,10,84
1,3,79
0,1,60
1,7,80
0,1,73
1,4,83
0,2,95
1,7,87
1,6,64
1,10,62
1,7,55
0,5,20
0,6,85
0,3,40
1,5,66
1,4,75
0,1,71
1,8,11
0,7,62
0,8,91
1,4,92
1,9,90
0,1,66
1,2,62
0,10,53
0,6,62
1,8,08
1,1,19
0,9,98
0,4,99
1,2,60
1,9,80
0,8,10
1,7,70
0,8,01
0,3,88
1,9,10
1,5,95
1,7,60
0,8,70
0,4,88
0,10,34
0,7,57
1,1,05
0,1,03
0,10,46
0,6,52
0,8,08
0,9,84
0,10,92
1,5,95
1,9,09
0,2,81
1,3,09
1,5,22
1,4,01
0,3,46
0,6,79
1,7,85
0,3,45
1,10,70
0,7,60
0,4,85
0,1,75
1,3,72
0,9,03
0,5,84
1,1,96
1,2,08
1,4,93
1,8,85
1,2,73
0,10,54
1,6,68
1,4,80
0,8,68
1,6,89
1,3,67
1,10,53
0,9,66
1,6,53
1,3,74
1,8,78
0,5,38
1,7,62
0,2,72
0,1,54
1,4,80
1,5,38
0,8,02
0,10,43
1,6,94
0,5,58
0,7,63
1,3,00
1,10,60
0,8,68
1,1,71
0,9,07
1,9,03
0,5,62
0,10,58
0,1,00
1,8,85
1,2,05
0,10,42
1,7,60
0,1,99
0,4,90
0,2,66
0,4,89
1,7,70
0,8,96
1,5,69
0,8,85
1,1,95
0,7,56
1,6,63
1,2,66
0,6,60
1,2,97
0,10,47
0,4,98
1,1,03
1,5,57
1,4,92
1,2,04
1,8,09
0,1,76
1,9,91
1,5,33
1,2,63
1,8,88
1,10,43
0,8,67
1,4,67
0,3,60
0,1,63
1,10,45
1,8,71
0,3,41
1,2,04
0,10,63
1,6,25
1,3,62
1,5,28
1,8,90
1,9,46
1,10,50
0,4,86
1,5,53
1,8,92
1,9,08
1,7,54
0,7,66
1,1,96
1,9,87
1,10,50
1,3,71
1,2,64
0,7,70
0,1,05
0,6,75
1,3,80
1,3,60
1,1,66
1,4,85
1,6,59
1,5,36
0,10,64
0,1,71
1,6,85
0,8,57
0,9,45
0,9,02
1,6,78
0,4,70
1,7,79
1,5,87
0,10,61
0,6,79
0,2,63
1,4,82
0,9,75
0,5,58
1,6,75
1,9,00
1,2,95
0,3,58
1,6,00
0,10,63
1,9,92
0,1,85
0,2,09
1,7,52
0,3,48
0,1,69
1,4,92
1,2,67
1,4,84
0,6,50
0,9,60
1,1,71
1,10,41
1,2,96
0,3,54
0,7,69
1,5,30
1,4,03
1,5,38
1,1,11
0,9,86
1,4,93
0,10,52
0,4,02
0,8,92
1,9,08
0,3,68
1,7,62
0,4,85
0,7,64
1,5,55
1,6,97
1,3,69
0,5,45
1,3,78
1,6,84
1,2,93
0,8,03
1,5,38
1,8,98
0,4,03
1,7,66
0,2,63
0,7,93
0,3,88
0,9,18
1,10,51
0,5,78
1,5,88
0,10,69
0,1,84
1,6,08
1,8,05
1,7,55
0,1,68
0,3,61
1,8,64
1,2,63
0,10,20
1,4,93
0,7,06
0,9,03
0,8,82
0,10,50
0,1,00
1,7,70
0,3,45
1,8,77
0,3,69
1,6,72
0,1,75
0,2,64
0,10,80
1,7,08
0,3,02
1,1,08
0,8,95
0,5,45
0,5,24
1,7,56
1,8,02
0,6,47
1,3,87
1,7,63
0,5,42
0,2,63
1,10,50
0,9,51
1,2,60
1,8,00
0,6,75
0,7,80
0,4,91
1,3,74
1,6,05
0,7,51
0,1,78
1,4,88
1,5,73
0,1,15
0,9,91
0,8,64
1,3,41
0,6,62
0,3,45
0,2,64
0,4,72
1,1,81
1,10,50
1,1,13
0,9,87
1,4,96
1,8,05
1,4,83
1,7,64
0,10,73
0,3,46
1,1,08
0,7,64
1,1,14
0,3,45
1,10,57
1,8,81
0,3,45
0,8,75
1,4,84
1,10,42
0,1,66
1,9,82
1,4,84
1,10,61
0,7,68
1,2,68
0,7,68
0,8,55
